tick,timestamp,actual_d_yaw,pred_d_yaw,actual_d_pitch,pred_d_pitch,actual_jump,actual_sneak,actual_attack,actual_place,pred_jump_prob,pred_sneak_prob,pred_attack_prob,pred_place_prob,actual_place_block_type,pred_place_block_type_top1
0,2026-08-04T18:31:49.786Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
1,2026-08-04T18:31:49.800Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
2,2026-08-04T18:31:49.804Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
3,2026-08-04T18:31:49.809Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
4,2026-08-04T18:31:49.813Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
5,2026-08-04T18:31:49.880Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
6,2026-08-04T18:31:49.883Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
7,2026-08-04T18:31:49.886Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
8,2026-08-04T18:31:49.920Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
9,2026-08-04T18:31:49.989Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
10,2026-08-04T18:31:50.021Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
11,2026-08-04T18:31:50.083Z,-0.18838501,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
12,2026-08-04T18:31:50.156Z,-3.7677917,nan,1.9780908,nan,0,0,0,0,nan,nan,nan,nan,,
13,2026-08-04T18:31:50.196Z,-0.47097778,nan,0.18838954,nan,0,0,0,0,nan,nan,nan,nan,,
14,2026-08-04T18:31:50.251Z,-3.3910217,nan,0.28258443,nan,0,0,0,0,nan,nan,nan,nan,,
15,2026-08-04T18:31:50.281Z,-3.5794067,nan,-0.6593636,nan,0,0,0,0,nan,nan,nan,nan,,
16,2026-08-04T18:31:50.330Z,-4.332962,nan,-1.0361428,nan,0,0,0,0,nan,nan,nan,nan,,
17,2026-08-04T18:31:50.402Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
18,2026-08-04T18:31:50.446Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
19,2026-08-04T18:31:50.492Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
20,2026-08-04T18:31:50.555Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
21,2026-08-04T18:31:50.623Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
22,2026-08-04T18:31:50.643Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
23,2026-08-04T18:31:50.702Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
24,2026-08-04T18:31:50.762Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
25,2026-08-04T18:31:50.809Z,0.0,nan,0.0,nan,0,0,0,0,nan,nan,nan,nan,,
26,2026-08-04T18:31:50.867Z,0.0,nan,0.0,nan,0,1,0,0,nan,nan,nan,nan,,
